hotel_id;Unnamed: 0;room_id;hotel_name;city_name;accommodation_type;room_name;room_surface_in_m2;room_facilities
10966441;0;1096644102;Apto belo e com churrasqueira na varanda VIC0203;Florianópolis;apartment;Apartamento;96.0;['Taças de vinho', 'Secadora de roupas', 'Guarda-roupa ou armário', 'Fogão', 'Cozinha', 'Chaleira/cafeteira', 'Área para refeições', 'Vaso sanitário', 'Máquina de lavar roupas', 'Micro-ondas', 'Travesseiro comum', 'Varanda', 'Ferro de passar roupa', 'TV', 'Chuveiro', 'Secador de cabelo', 'Ar-condicionado', 'Área de estar', 'Internet', 'Mesa de jantar', 'Churrasqueira', 'Utensílios de cozinha', 'Forno', 'Geladeira', 'Cesto de lixo', 'Roupa de cama', 'Acessível por elevador', 'Toalhas', 'Banheiro privativo', 'Varal para secar roupas', 'Sofá']
10966258;1;1096625802;Chalés encantadores em Urubici/SC - PAR;Urubici;apartment;Bangalô;65.0;['Banheiro privativo', 'Geladeira', 'TV', 'Secador de cabelo', 'Ar-condicionado', 'Vista da montanha', 'Chaleira elétrica', 'Toda a unidade localizada no térreo', 'Toalhas', 'Mesa de jantar', 'Forno', 'Utensílios de cozinha', 'Chuveiro', 'Roupa de cama', 'Banheira de hidromassagem', 'Vaso sanitário', 'Jacuzzi', 'Cozinha', 'Fogão', 'Varanda', 'Guarda-roupa ou armário', 'Micro-ondas', 'Área para refeições', 'Sofá-cama', 'Cesto de lixo']
10966118;2;1096611801;Casa em lindo cond. a 5min da praia PEV105;Ubatuba;holiday_home;Casa de 3 Quartos;220.0;['Taças de vinho', 'Cozinha', 'Vaso sanitário', 'Chuveiro', 'Chave de acesso', 'Terraço', 'Chaleira/cafeteira', 'Ferro de passar roupa', 'Fogão', 'Guarda-roupa ou armário', 'Varanda', 'Micro-ondas', 'TV de tela plana', 'Sofá', 'Área de refeições externa', 'Lareira', 'Geladeira', 'Papel higiênico', 'Travesseiro comum', 'Ventilador', 'Andares superiores acessíveis somente por escada', 'Vista do jardim', 'Secador de cabelo', 'Mesa de jantar', 'Móveis na área externa', 'Máquina de lavar roupas', 'Cesto de lixo', 'Toalhas', 'Área de estar', 'Roupa de cama', 'Forno', 'Churrasqueira', 'Banheiro privativo', 'Independente', 'Vista', 'Área para refeições', 'Tomada perto da cama', 'TV']
10961514;3;1096151402;Studio a 2min da UFSC Floripa-SC SSG0304;Florianópolis;apartment;Apartamento;51.0;['Toalhas', 'Sofá-cama', 'Fogão', 'Chuveiro', 'Ferro de passar roupa', 'TV', 'Área de estar', 'Forno', 'Cozinha', 'Vaso sanitário', 'Área para refeições', 'Cesto de lixo', 'Utensílios de cozinha', 'Micro-ondas', 'Guarda-roupa ou armário', 'Varal para secar roupas', 'Roupa de cama', 'Banheiro privativo', 'Ar-condicionado', 'Geladeira']
10960702;4;1096070202;MGI - Apartamentos proximos da praia do Tororão;Arraial d'Ajuda;apartment;Villa Deluxe;130.0;['Guarda-roupa ou armário', 'Área para refeições', 'Mesa de jantar', 'Área de estar', 'Taças de vinho', 'Chuveiro', 'Ar-condicionado', 'Toalhas', 'Vaso sanitário', 'Roupa de cama', 'Banheiro privativo', 'Churrasqueira', 'TV', 'Internet', 'Cesto de lixo', 'Cozinha', 'Sofá-cama', 'Travesseiro comum', 'Geladeira']
10959776;5;1095977602;Apartamentos no Jardim Goiás Goiânia/GO - THO;Goiânia;apartment;Apartamento;48.0;['Banheiro privativo', 'Secador de cabelo', 'Shampoo', 'Sofá', 'Torradeira', 'Churrasqueira', 'Máquina de café', 'Produtos de higiene pessoal gratuitos', 'Fogão', 'Chuveiro', 'Utensílios de cozinha', 'Ferro de passar roupa', 'Cozinha', 'Ar-condicionado', 'Roupa de cama', 'Papel higiênico', 'Arara para roupas', 'Garrafa de água', 'Micro-ondas', 'Internet', 'Varanda', 'Toalhas', 'Mesa de trabalho', 'Produtos de limpeza', 'Geladeira', 'Cesto de lixo', 'Área de estar', 'Forno', 'Vaso sanitário', 'Guarda-roupa ou armário', 'TV']
10949139;6;1094913902;Casa triplex em condomínio Floripa-SC ALI024;Florianópolis;holiday_home;Casa de Temporada;170.0;['Área de estar', 'Toalete adicional', 'Utensílios de cozinha', 'Chuveiro', 'Roupa de cama', 'Varanda', 'Mesa de jantar', 'Guarda-roupa ou armário', 'Máquina de lavar roupas', 'Cozinha', 'Churrasqueira', 'Vaso sanitário', 'Geladeira', 'Ar-condicionado', 'TV', 'Andares superiores acessíveis somente por escada', 'Chaleira/cafeteira', 'Sofá', 'Fogão', 'Cesto de lixo', 'Micro-ondas', 'Forno', 'Varal para secar roupas', 'Toalhas', 'Ferro de passar roupa', 'Banheiro privativo', 'Área para refeições']
10949029;7;1094902902;Studio próximo à Orla Maceió-AL EWV712;Maceió;apartment;Apartamento;38.0;['Banheiro privativo', 'Guarda-roupa ou armário', 'Área para refeições', 'Chuveiro', 'TV', 'Toalhas', 'Cozinha', 'Ar-condicionado', 'Sofá', 'Mesa de jantar', 'Máquina de lavar roupas', 'Utensílios de cozinha', 'Ferro de passar roupa', 'Cesto de lixo', 'Roupa de cama', 'Geladeira', 'Fogão', 'Área de estar', 'Vaso sanitário', 'Micro-ondas']
10948443;8;1094844302;Casa espaçosa com churrasqueira em Floripa AGN088;Florianópolis;holiday_home;Villa Deluxe;250.0;['Lareira', 'Área para refeições', 'Churrasqueira', 'Taças de vinho', 'Travesseiro comum', 'TV', 'Cesto de lixo', 'Máquina de café', 'Roupa de cama', 'Varal para secar roupas', 'Banheiro privativo', 'Ar-condicionado', 'Ventilador', 'Vaso sanitário', 'Toalhas', 'Geladeira', 'Internet', 'Utensílios de cozinha', 'Área de refeições externa', 'Chuveiro', 'Guarda-roupa ou armário', 'Fogão', 'Cozinha', 'Forno', 'Móveis na área externa', 'Máquina de lavar roupas', 'Mesa de jantar', 'Ferro de passar roupa', 'Sofá-cama', 'Varanda', 'Varanda térrea', 'Toda a unidade localizada no térreo', 'Micro-ondas', 'Arara para roupas', 'Secador de cabelo', 'Área de estar']
10948439;9;1094843901;Apto com piscina no centro de Floripa PCE0406;Florianópolis;apartment;Apartamento de 1 Quarto;32.0;['Acessível por elevador', 'Chuveiro', 'Mesa de jantar', 'Chaleira/cafeteira', 'Torradeira', 'Geladeira', 'Vaso sanitário', 'Taças de vinho', 'Ferro de passar roupa', 'Banheiro privativo', 'TV de tela plana', 'Roupa de cama', 'Toalhas', 'TV', 'Cesto de lixo', 'Chave de acesso', 'Guarda-roupa ou armário', 'Área de estar', 'Cozinha compacta', 'Travesseiro comum', 'Chaleira elétrica', 'Forno', 'Fogão', 'Secador de cabelo', 'Papel higiênico', 'Micro-ondas', 'Independente', 'Tomada perto da cama', 'Sofá']
